host_ID,host_species,village,grid,season,total_reads,asv_ID,reads,asv_degree,asv_group,host_group
2010,Rattus rattus,Mandena,brushy_regrowth,1,9912,ASV_1,0.0903954802259887,142,1,20
2011,Rattus rattus,Mandena,brushy_regrowth,1,20364,ASV_1,0.07527990571596936,142,1,7
2014,Rattus rattus,Mandena,brushy_regrowth,1,7610,ASV_1,0.03153745072273324,142,1,1
2015,Rattus rattus,Mandena,brushy_regrowth,1,30276,ASV_1,0.2545250363324085,142,1,1
2018,Rattus rattus,Mandena,brushy_regrowth,1,14954,ASV_1,0.17634077838705364,142,1,1
2019,Rattus rattus,Mandena,brushy_regrowth,1,15486,ASV_1,0.11223040165310602,142,1,1
2020,Rattus rattus,Mandena,brushy_regrowth,1,14984,ASV_1,0.11018419647624134,142,1,4
2029,Rattus rattus,Mandena,brushy_regrowth,1,11675,ASV_1,0.03905781584582441,142,1,1
2031,Rattus rattus,Mandena,brushy_regrowth,1,16150,ASV_1,0.02055727554179566,142,1,1
2037,Rattus rattus,Mandena,brushy_regrowth,1,8636,ASV_1,0.13767948124131543,142,1,1
2053,Rattus rattus,Mandena,agriculture,1,12496,ASV_1,0.3517125480153649,142,1,19
2054,Rattus rattus,Mandena,agriculture,1,12169,ASV_1,0.05933108718875832,142,1,38
2059,Rattus rattus,Mandena,agriculture,1,23828,ASV_1,0.17865536343797214,142,1,1
2063,Rattus rattus,Mandena,agriculture,1,18523,ASV_1,0.50925875938023,142,1,1
2064,Rattus rattus,Mandena,agriculture,1,10517,ASV_1,0.03242369497004849,142,1,1
2065,Rattus rattus,Mandena,agriculture,1,20460,ASV_1,0.01593352883675464,142,1,1
2077,Rattus rattus,Mandena,agriculture,1,26260,ASV_1,0.4884234577303884,142,1,49
2087,Rattus rattus,Mandena,agriculture,1,13162,ASV_1,0.04839690016714785,142,1,42
2091,Rattus rattus,Mandena,agriculture,1,23179,ASV_1,0.34902282238232885,142,1,86
2092,Rattus rattus,Mandena,agriculture,1,19241,ASV_1,0.02063302323164076,142,1,5
2094,Rattus rattus,Mandena,agriculture,1,3262,ASV_1,0.04230533415082771,142,1,1
2096,Rattus rattus,Mandena,agriculture,1,9183,ASV_1,0.07121855602744201,142,1,5
2103,Rattus rattus,Mandena,village,1,11913,ASV_1,0.24771258289263828,142,1,7
2140,Rattus rattus,Mandena,semi-intact_forest,1,20447,ASV_1,0.8083337408910842,142,1,18
2160,Rattus rattus,Mandena,flooded_rice,1,12467,ASV_1,0.01467875190502927,142,1,1
2169,Rattus rattus,Mandena,flooded_rice,1,16681,ASV_1,0.14111863797134463,142,1,7
2175,Rattus rattus,Mandena,flooded_rice,1,22668,ASV_1,0.05324686783130404,142,1,1
2176,Rattus rattus,Mandena,flooded_rice,1,18752,ASV_1,0.01333191126279863,142,1,6
2177,Rattus rattus,Mandena,flooded_rice,1,16880,ASV_1,0.07180094786729858,142,1,1
2178,Rattus rattus,Mandena,flooded_rice,1,16646,ASV_1,0.02204733869998798,142,1,34
2218,Rattus rattus,Mandena,agroforest,1,15592,ASV_1,0.17015135967162648,142,1,4
2222,Rattus rattus,Mandena,village,1,5556,ASV_1,0.03617710583153347,142,1,11
2227,Rattus rattus,Mandena,village,1,24462,ASV_1,0.02992396369879813,142,1,1
2241,Rattus rattus,Mandena,agroforest,1,29225.000000000004,ASV_1,0.03883661248930709,142,1,7
2248,Rattus rattus,Mandena,agroforest,1,15957,ASV_1,0.31340477533370936,142,1,1
2249,Rattus rattus,Mandena,agroforest,1,9448,ASV_1,0.03027095681625741,142,1,1
2262,Rattus rattus,Mandena,brushy_regrowth,2,20674,ASV_1,0.02839315081745187,142,1,1
2278,Rattus rattus,Mandena,brushy_regrowth,2,27408,ASV_1,0.24062317571511968,142,1,7
2287,Rattus rattus,Mandena,brushy_regrowth,2,8590,ASV_1,0.04225844004656578,142,1,5
2302,Rattus rattus,Mandena,agriculture,2,35510,ASV_1,0.8181357364122782,142,1,5
2303,Rattus rattus,Mandena,agriculture,2,17437,ASV_1,0.5798589206858978,142,1,5
2324,Rattus rattus,Mandena,agriculture,2,17706,ASV_1,0.05642155201626567,142,1,1
2328,Rattus rattus,Mandena,agriculture,2,17193,ASV_1,0.05601116733554353,142,1,52
2330,Rattus rattus,Mandena,agriculture,2,3006,ASV_1,0.03426480372588157,142,1,1
2337,Rattus rattus,Mandena,agriculture,2,51646,ASV_1,0.9549626302133756,142,1,1
2341,Rattus rattus,Mandena,agriculture,2,39440,ASV_1,0.04173427991886409,142,1,15
2343,Rattus rattus,Mandena,agriculture,2,29176,ASV_1,0.7965451055662188,142,1,7
2354,Rattus rattus,Mandena,secondary_forest,2,10820,ASV_1,0.04500924214417745,142,1,50
2368,Rattus rattus,Mandena,secondary_forest,2,14485,ASV_1,0.03424231964100794,142,1,16
2377,Rattus rattus,Mandena,semi-intact_forest,2,9486,ASV_1,0.20050600885515493,142,1,5
2381,Rattus rattus,Mandena,semi-intact_forest,2,15608,ASV_1,0.3673757047667862,142,1,1
2397,Rattus rattus,Mandena,flooded_rice,2,12857,ASV_1,0.06478960877343082,142,1,1
2400,Rattus rattus,Mandena,flooded_rice,2,22581,ASV_1,0.01461405606483326,142,1,85
2410,Rattus rattus,Mandena,flooded_rice,2,12641,ASV_1,0.08836326240012657,142,1,54
2417,Rattus rattus,Mandena,flooded_rice,2,24265,ASV_1,0.27496393983103234,142,1,7
